Date,AAPL_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,7795,111.7878,114.3054,109.4545,114.3054,122856115
2020-08-07,7792,114.0837,113.583,112.8573,116.318,200529677
2020-08-10,65455,116.407,117.1,111.0,117.474,220599198
2020-08-12,17858,113.51,110.9561,110.9561,114.828,170038427
2020-08-13,50,120.36,117.31,116.8758,120.4012,219053313
2020-08-14,10306,119.5567,115.0986,115.0986,119.5567,166490347
2020-08-17,589,118.7722,120.1502,118.7722,120.1502,123085500
2020-08-19,1466,118.2239,118.5848,117.69,119.21,147874668
2020-08-20,8238,120.708,116.47,116.47,122.516,127760668
2020-08-25,23,126.048,126.7913,126.048,128.6359,213624404
2020-08-26,25531,127.5939,126.7286,126.7286,129.7482,170020341
2020-08-28,8747,128.3177,129.7031,128.2995,131.6253,190237209
2020-08-31,3494,131.26,132.88,131.26,137.0,230684128
2020-09-01,279593,138.69,138.22,134.61,138.69,155193596
2020-09-02,592906,133.5,144.05,129.0,144.05,203880984
2020-09-03,12927,122.22,128.35,122.22,133.72,267300798
2020-09-04,3086,123.79,120.98,112.12,126.7,337543921
2020-09-08,78,114.62,116.97,114.62,122.47,242561216
2020-09-09,11827,117.81,119.14,117.81,121.93,185180841
2020-09-11,24794,116.0,115.91,114.0,119.4,183169537
2020-09-14,2244,116.964,116.91,114.6,116.964,143329864
2020-09-15,432,118.07,123.02,113.91,123.02,188673666
2020-09-17,2537,112.31,112.96,110.52,113.1,179920288
2020-09-18,8464,107.1,111.3,107.1,112.8,295968080
2020-09-21,1025,111.79,107.23,105.1,113.61,198517990
2020-09-22,42134,112.17,115.49,112.17,115.49,185792996
2020-09-23,22397,110.47,116.76,109.73,116.76,154646802
2020-09-24,26,113.52,105.22,105.22,115.07,172498265
2020-09-28,544556,116.71,117.69,114.5,119.18,141677144
2020-09-29,26700,118.52,115.39,115.39,118.52,103171582
2020-10-02,4916,113.43,114.11,113.43,117.6,148797518
2020-10-06,7752,115.11,118.8,115.11,121.24,165665143
2020-10-08,108579,117.0,117.16,115.1092,119.2,85757942
2020-10-09,6552,119.97,117.11,115.06,121.0,101843855
2020-10-14,14900,125.57,124.0,121.51,128.58,157635737
2020-10-19,2500,118.04,125.93,118.04,125.93,122067557
2020-10-20,99020,117.87,119.6,117.87,124.49,128557406
2020-10-21,62233,117.68,117.96,116.9,122.682,90245663
2020-10-22,1878,119.26,121.79,114.65,121.79,106670760
2020-10-23,164804,120.22,117.11,117.11,121.76,86000028
2020-10-27,5330,118.8,115.99,115.143,118.8,95185870
2020-10-28,312,116.6,119.8,114.5,120.36,148110383
2020-10-29,288,117.89,112.86,112.86,117.89,149735973
2020-10-30,69960,111.14,116.0,108.57,116.0,192519225
2020-11-03,83,111.47,111.75,109.62,115.1,112608494
2020-11-04,25781,119.33,119.41,113.2,121.15,144873986
2020-11-09,38051,117.6,125.2,117.6,126.58,158534908
2020-11-10,58828,117.31,118.3,117.31,119.23,139946435
2020-11-12,17442,123.12,123.35,121.24,124.87,107922805
2020-11-13,111469,124.15,121.31,121.31,124.15,82214321
2020-11-16,10432,123.6,122.89,121.04,125.5,94686157
2020-11-17,6000,120.2,122.03,120.2,124.3313,74611929
2020-11-18,53664,123.35,124.45,123.0,124.45,79083925
2020-11-19,17099,123.42,121.69,121.69,124.88,77192474
2020-11-20,20,118.47,121.05,118.47,122.94,75642966
2020-11-23,2001,116.67,117.55,116.67,121.7683,128515583
2020-11-24,24816,120.28,115.64,115.64,120.28,117437011
2020-11-27,900,120.96,120.85,118.6,120.96,46910127
2020-12-01,2927,123.7,123.72,120.3,129.1893,133827667
2020-12-02,37189,129.19,125.71,125.71,129.19,93140524
