Date,AMC_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,152337,4.31,4.22,4.2,4.31,1744491
2020-08-06,9240,4.34,4.31,4.1,4.38,3748741
2020-08-07,61285,4.96,4.34,4.14,5.46,25159671
2020-08-10,250694,4.68,4.74,4.5,4.75,5140646
2020-08-11,17521,4.57,4.8,4.57,5.05,5953626
2020-08-12,8257,4.83,4.77,4.74,5.0,2533333
2020-08-13,49463,5.36,5.3,5.01,5.89,23911537
2020-08-14,264745,5.74,5.74,5.09,5.89,12271142
2020-08-17,8884,5.7,5.87,5.482,5.97,7275581
2020-08-18,258720,5.48,5.74,5.27,5.74,5884882
2020-08-19,348437,5.57,5.6,5.3,5.6,5925963
2020-08-20,263034,5.73,5.66,5.5,5.9,14407296
2020-08-21,169569,5.41,5.84,5.23,5.96,8540343
2020-08-24,21731,5.63,5.51,5.0135,5.64,8688573
2020-08-25,896141,5.74,5.5,5.24,5.74,5534785
2020-08-26,819128,5.6,5.68,5.5,5.72,4462926
2020-08-27,391389,6.67,6.05,5.9,7.1,32619596
2020-08-28,409752,6.5,6.71,6.17,6.85,10237468
2020-08-31,114423,6.07,6.34,6.01,6.7,10125868
2020-09-01,20319,6.33,5.92,5.83,6.36,9869992
2020-09-02,109748,7.11,7.24,6.6,7.99,44189832
2020-09-03,32714,6.9,7.27,6.659,7.38,11033594
2020-09-04,45246,7.03,6.77,6.48,7.3,9679870
2020-09-08,268148,6.47,6.91,6.39,7.2228,6905496
2020-09-09,85791,6.45,6.56,6.2092,6.64,5753638
2020-09-10,381592,6.13,6.41,6.13,6.65,6092731
2020-09-11,147927,6.03,6.2,5.7,6.2,5077705
2020-09-14,332391,5.66,5.9,5.66,5.9189,4676862
2020-09-15,781062,5.58,5.7,5.58,6.06,5202316
2020-09-16,600764,5.84,5.53,5.53,6.053,4418082
2020-09-17,627101,5.82,5.91,5.66,6.05,2676307
2020-09-18,567411,5.88,5.93,5.65,6.0,2440886
2020-09-21,633013,5.45,5.45,5.24,5.61,4779138
2020-09-22,627950,5.28,5.25,5.25,5.48,2169145
2020-09-23,269215,4.97,5.47,4.85,5.47,4363236
2020-09-24,223942,4.81,4.78,4.3724,5.0,4613010
2020-09-25,523894,5.1,4.73,4.5057,5.1,2452512
2020-09-28,603444,5.13,5.06,4.78,5.21,4770076
2020-09-29,352690,4.93,4.95,4.82,5.09,2594593
2020-09-30,92301,4.86,4.9,4.8,5.07,2528519
2020-10-01,29900,4.79,4.88,4.78,4.9,3240937
2020-10-02,443515,4.85,4.65,4.56,4.85,3687643
2020-10-05,303187,4.32,4.5,4.15,4.5,9785075
2020-10-06,123395,4.07,4.46,4.07,4.46,8464017
2020-10-07,1626303,4.16,4.17,4.11,4.31,7206519
2020-10-08,2090123,4.29,4.14,4.12,4.311,8161037
2020-10-09,1277156,4.16,4.22,4.16,4.25,5116504
2020-10-13,1724893,3.7,3.9,3.58,3.99,10580906
2020-10-14,435199,3.08,3.13,2.79,3.2,32997202
2020-10-15,92603,2.8,2.86,2.8,2.99,9998488
2020-10-16,3687446,3.05,2.92,2.9,3.44,19023889
2020-10-19,2625116,3.71,3.35,3.35,4.04,41048129
2020-10-20,1853,3.15,3.4,3.1,3.4,16081538
2020-10-21,525180,3.0,3.1,3.0,3.2027,7467362
2020-10-22,43333,3.12,3.04,2.9,3.22,12954664
2020-10-23,1352696,3.1,3.22,2.99,3.22,6696716
2020-10-26,2752279,2.87,3.05,2.69,3.05,10977899
2020-10-27,937,2.86,2.92,2.66,3.0,11335599
2020-10-28,1812015,2.62,2.74,2.62,2.79,8332431
2020-10-29,160554,2.57,2.75,2.57,2.77,9156954
2020-10-30,1270,2.46,2.53,2.32,2.53,11447190
2020-11-02,1350694,2.22,2.3,2.18,2.4,11306372
2020-11-03,901,2.41,2.36,2.36,2.64,15508492
2020-11-04,100485,2.37,2.5,2.3097,2.5,7705181
2020-11-05,70488,2.5,2.46,2.28,2.6,8438582
2020-11-06,96876,2.54,2.43,2.43,2.74,9131164
2020-11-09,8566,3.86,4.45,3.35,4.45,134430692
2020-11-10,343241,3.55,4.13,3.35,4.13,42763928
2020-11-12,1019652,2.94,3.11,2.94,3.11,15384207
2020-11-13,4766687,3.01,3.05,2.9,3.08,23266977
2020-11-16,1625384,3.14,3.54,3.13,3.54,48338129
2020-11-17,2330787,2.99,3.03,2.99,3.1,22757787
2020-11-18,1450745,3.29,3.15,3.15,3.38,31878821
2020-11-19,3026920,3.26,3.24,3.2,3.394,14412232
2020-11-20,743719,3.45,3.34,3.34,3.49,17226270
2020-11-23,48457,3.84,3.57,3.55,4.02,32565790
2020-11-24,492516,4.62,4.21,4.21,5.0,65634392
2020-11-25,319502,4.65,4.79,4.3,5.09,22703683
2020-11-27,284548,4.46,4.65,4.36,4.75,10204051
2020-11-30,201507,4.36,4.53,4.09,4.53,16748577
2020-12-01,345244,4.18,4.43,4.18,4.45,12433750
2020-12-02,67606,4.33,4.13,3.96,4.36,12417909
2020-12-03,166717,3.67,4.05,3.6,4.302,66985350
2020-12-04,210098,3.65,3.9,3.4,3.9,34583575
2020-12-07,4698986,3.73,3.46,3.4,3.91,20941046
2020-12-08,3662517,4.11,3.68,3.68,4.11,29596090
2020-12-09,2707506,3.88,4.43,3.88,4.43,21255565
2020-12-10,467070,4.17,3.83,3.83,4.2,20504985
2020-12-11,1106222,4.09,4.07,4.01,4.4,22660298
2020-12-14,1899282,3.28,4.17,3.0,4.17,70227253
2020-12-15,1087046,2.94,3.37,2.86,3.37,56441333
2020-12-16,2032579,2.79,2.89,2.79,3.02,25480814
2020-12-17,2957930,2.86,2.9,2.75,2.99,24254978
2020-12-18,4333865,2.8,2.93,2.8,2.99,22992702
2020-12-21,3208259,2.72,2.69,2.62,2.83,23256201
2020-12-22,222569,2.68,2.84,2.62,2.87,22650751
2020-12-23,210768,2.64,2.61,2.61,2.7,16347316
2020-12-24,34950,2.57,2.68,2.57,2.68,11570020
2020-12-30,1321922,2.21,2.4,2.18,2.4,41818313
2020-12-31,80241,2.17,2.21,2.13,2.3,29095083
2021-01-04,111844,2.04,2.3,2.0,2.3,29984288
2021-01-05,1631091,2.08,2.04,1.93,2.08,29402289
2021-01-07,4241943,2.13,2.16,2.07,2.16,26368520
2021-01-08,11547981,2.16,2.16,2.08,2.242,39967572
2021-01-12,5900,2.32,2.35,2.32,2.49,43030691
2021-01-15,102589,2.34,2.3,2.24,2.67,166096082
2021-01-19,8842791,3.13,2.9,2.6,3.2,266044633
2021-01-20,13399807,3.1,3.39,2.85,3.39,188038584
2021-01-21,3167557,3.08,3.0,2.94,3.2,65350528
2021-01-22,200,3.63,2.91,2.82,3.76,270408196
2021-01-25,15521,4.5,4.76,3.89,4.92,462328909
2021-01-26,385273,5.04,5.15,4.38,5.3,463555898
2021-01-27,27693649,20.4,20.73,11.38,21.11,1315599445
2021-01-28,584097,8.7,12.0,6.66,16.7,593533324
2021-01-29,15902,13.87,14.77,11.7,16.0,619404902
2021-02-01,56769,13.7,18.0,13.53,18.0,435519383
2021-02-02,1914426,7.83,9.57,6.0,10.3,467654213
2021-02-03,1872148,9.14,8.91,8.07,9.82,229885951
2021-02-04,202204,7.27,9.1,7.0,9.1,168052460
