Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,18872,5.06,4.94,4.88,5.06,2429894
2020-08-06,4714,5.0,4.87,4.87,5.18,5500920
2020-08-07,15430,4.97,5.08,4.94,5.379,5575810
2020-08-10,19480,4.96,5.09,4.96,5.09,2407911
2020-08-13,4659,4.9,4.95,4.9,5.19,2518756
2020-08-14,200,5.0,5.09,4.93,5.09,2639480
2020-08-17,20274,5.02,5.02,4.81,5.02,1896269
2020-08-18,26417,4.84,4.82,4.81,4.866,2503765
2020-08-20,300,4.94,4.81,4.77,5.04,2199981
2020-08-21,5894,4.78,4.9,4.73,5.065,2040139
2020-08-24,1265,4.85,5.0,4.85,5.0,2539528
2020-08-26,98425,5.13,5.06,5.0,5.43,7760665
2020-08-27,125917,5.07,5.33,4.987,5.35,3688975
2020-08-28,319989,5.38,5.13,5.1,5.421,4079678
2020-08-31,31024,5.3,5.51,5.3,5.51,4479256
2020-09-02,2486,5.66,5.67,5.61,5.6791,5271797
2020-09-03,2050,5.36,5.57,5.35,5.7,5565792
2020-09-04,2111,5.28,5.26,5.092,5.4,5991142
2020-09-08,37701,4.99,5.15,4.99,5.193,3879209
2020-09-09,19664,5.05,5.15,4.92,5.15,3684579
2020-09-10,5572,4.9,5.05,4.9,5.06,3679157
2020-09-11,167048,4.96,5.04,4.77,5.05,3808977
2020-09-15,66547,4.94,5.01,4.86,5.08,2573657
2020-09-16,20318,4.89,4.99,4.87,4.99,3292131
2020-09-17,70103,4.88,4.9,4.8,4.92,3814489
2020-09-18,94494,5.01,4.89,4.75,5.01,4228239
2020-09-21,68335,4.98,4.83,4.7,4.98,3336146
2020-09-22,7120,5.14,5.01,4.86,5.14,3379178
2020-09-25,6087,4.87,4.9,4.778,4.99,5772168
2020-09-28,99010,4.74,4.88,4.74,5.03,7510305
2020-09-29,11148,4.78,4.85,4.54,4.85,6088878
2020-09-30,459552,4.71,4.66,4.66,4.89,3848302
2020-10-01,237037,4.69,4.75,4.58,4.75,5191791
2020-10-02,158309,4.61,4.65,4.43,4.65,6749721
2020-10-05,203,4.5,4.48,4.48,4.67,3167971
2020-10-06,34161,4.72,4.61,4.61,4.83,4031839
2020-10-08,10855,4.8,4.8,4.74,4.8,2231693
2020-10-09,9,4.93,4.72,4.72,4.93,2624638
