Date,GME_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,9693,4.81,4.6,4.425,4.88,5058855
2020-08-06,70632,4.51,4.7,4.3887,4.876,1963043
2020-08-10,415,4.5,4.3,4.19,4.79,4608552
2020-08-11,67801,4.46,4.48,4.46,4.66,3142061
2020-08-12,15477,4.52,4.6,4.39,4.82,3195734
2020-08-13,34659,4.78,4.65,4.6245,4.94,2193706
2020-08-14,9412,4.94,4.6,4.6,5.06,3506616
2020-08-17,3983,4.81,4.84,4.691,4.84,2395475
2020-08-18,1356,4.84,4.62,4.527,4.88,3881609
2020-08-19,1780,4.75,4.9,4.73,5.03,2704935
2020-08-20,58521,4.73,4.73,4.56,4.91,2520841
2020-08-21,3202,5.16,4.8,4.621,5.7,10991282
2020-08-24,70241,5.01,5.3,4.62,5.36,4804102
2020-08-25,347372,5.02,5.05,5.02,5.44,3136129
2020-08-26,72972,5.21,4.98,4.98,5.27,2813152
2020-08-27,57178,5.42,5.15,5.15,5.6231,3484990
2020-08-28,8813,5.61,5.4,5.286,5.728,4383900
2020-08-31,31683,6.92,5.86,5.83,7.5,39742031
2020-09-01,310668,7.88,7.4,6.99,7.88,24234162
2020-09-02,917224,7.83,7.9,7.13,8.17,13150200
2020-09-03,783719,8.16,8.04,7.59,8.81,14757293
2020-09-04,1048386,7.89,7.84,7.27,8.26,7837954
2020-09-08,556234,7.8,7.89,7.73,8.52,10051311
2020-09-09,252787,7.62,8.25,7.48,8.28,9235850
2020-09-10,630799,6.41,6.69,6.26,7.18,15843959
2020-09-11,431853,6.39,6.31,5.92,6.52,6085444
2020-09-14,398676,6.91,7.0,6.59,7.0,10373189
2020-09-15,267777,7.39,7.05,6.692,7.39,5806696
2020-09-16,884485,8.71,7.37,7.29,9.45,19943923
2020-09-17,598737,9.2,8.68,8.58,10.2,17777853
2020-09-18,847632,9.73,9.5,9.22,10.22,17437164
2020-09-21,709333,9.1,9.79,8.65,10.0,7742519
2020-09-22,2655764,10.94,10.62,10.4,11.5712,35794315
2020-09-23,1004290,10.08,10.9,9.95,10.92,10713416
2020-09-24,650946,9.38,10.0,9.38,10.05,7985824
2020-09-25,901845,10.34,9.62,9.3,10.4057,7833514
2020-09-28,499879,10.54,10.66,9.71,10.68,7043052
2020-09-29,295322,10.75,10.0,10.0,10.76,5429776
2020-09-30,28263,10.6,10.3,10.3,10.9684,6304962
2020-10-01,380564,10.13,10.43,9.72,10.43,4598323
2020-10-02,198726,9.4,9.44,9.4,9.81,4529092
2020-10-05,77344,9.53,9.63,9.53,9.6814,2922369
2020-10-06,45728,9.43,9.68,9.3,10.115,4539654
2020-10-07,2112,9.74,9.44,9.4271,9.74,3308812
2020-10-08,43355,13.54,9.63,9.38,13.95,77707824
2020-10-09,287410,12.22,12.96,12.22,15.2,77630547
2020-10-13,3210148,12.38,12.17,11.9,12.62,10466231
2020-10-14,1020779,12.61,13.02,12.61,13.02,11005091
2020-10-15,81962,13.92,12.06,12.06,15.7,40072650
2020-10-16,42481,13.86,14.09,13.31,14.5,12022039
2020-10-19,139512,14.23,13.64,13.64,14.6,13776355
2020-10-20,210863,13.92,14.59,13.92,14.828,6815542
2020-10-21,19853,14.4,14.2,14.2,14.77,5597527
2020-10-22,168358,15.21,14.9,14.81,15.99,16542763
2020-10-23,144317,15.0,15.64,15.0,15.82,6557323
2020-10-26,221129,13.92,15.09,13.33,16.06,13676829
2020-10-27,254372,12.73,14.12,12.73,14.12,7403988
2020-10-28,133541,11.94,12.34,11.94,13.45,6551186
2020-10-29,40619,11.81,12.33,11.81,12.82,4299609
2020-10-30,11780,10.82,11.9,10.4,12.08,11592371
2020-11-02,10141,10.93,10.98,10.6,11.44,5348136
2020-11-03,8353,12.01,11.17,10.93,12.01,7475212
2020-11-04,16776,11.24,12.2,10.65,12.2,6040713
2020-11-05,8661,11.66,11.78,11.36,11.97,4870877
2020-11-06,245253,12.09,11.9,11.54,12.43,5764329
2020-11-09,110340,11.82,13.04,11.31,13.04,6335559
2020-11-10,60526,11.3,11.6,11.03,11.84,3828545
2020-11-12,55047,11.17,12.28,11.17,12.28,4415694
2020-11-13,15899,11.16,11.81,11.0,12.03,3616034
2020-11-16,94799,12.14,11.25,10.94,13.1246,9807928
2020-11-17,48023,12.02,11.94,11.32,12.46,6712953
2020-11-18,19886,11.96,11.8,11.8,12.58,3312648
2020-11-19,20322,12.82,12.0,11.82,12.92,12360169
2020-11-20,971,12.91,12.56,12.56,14.02,8677543
2020-11-23,46998,14.3,13.3,12.84,14.52,9745553
2020-11-24,535217,13.71,14.3,13.71,14.94,7340792
2020-11-25,143331,14.93,14.3,13.83,15.37,8951709
2020-11-27,163516,16.44,15.33,15.17,16.88,12717029
2020-11-30,21936,16.87,19.04,16.5874,20.2,32957649
2020-12-01,91971,15.9,17.96,15.88,17.96,13030385
2020-12-02,1061397,17.4,16.2,15.42,17.4,8098863
2020-12-03,1787191,16.52,17.1,16.49,17.1,6370437
2020-12-04,999475,16.9,16.6,16.6,18.0,9012290
2020-12-07,1002379,16.68,17.0,16.68,18.1,7483240
2020-12-08,872292,17.02,16.74,16.42,17.51,16446792
2020-12-09,721361,14.13,14.36,13.762,14.75,24395159
2020-12-10,605975,14.38,13.27,13.22,14.74,7594684
2020-12-11,880063,13.66,14.39,13.47,14.39,7755224
2020-12-14,284296,13.01,13.6,12.71,14.0511,10395364
2020-12-15,170655,14.53,13.08,12.63,14.53,8580130
2020-12-16,10784,14.47,14.46,13.98,14.99,6044707
2020-12-17,500162,15.03,14.32,14.11,15.42,8453950
2020-12-18,872523,15.66,16.37,15.49,16.8,17020029
2020-12-21,619404,15.98,16.47,15.63,16.97,10240439
2020-12-22,744478,19.87,16.77,16.68,20.59,31124328
2020-12-23,700507,20.79,20.68,19.61,22.9832,25897197
2020-12-24,839699,20.37,21.06,20.32,21.62,6318778
2020-12-28,351316,21.9,21.33,21.13,22.04,9107084
2020-12-29,283294,20.16,20.85,19.23,21.19,9410380
2020-12-30,648513,19.68,19.58,19.3,20.0,6114844
2020-12-31,228358,19.04,19.76,19.04,20.0,7212907
2021-01-04,182269,17.49,20.0,17.22,20.0,10343715
2021-01-05,490723,18.16,17.61,17.61,18.3654,5122891
2021-01-06,772112,18.42,17.88,17.87,19.51,6153282
2021-01-07,799328,18.55,18.71,18.55,19.79,6375134
2021-01-08,555658,17.76,18.18,17.64,18.4,6767517
2021-01-11,703110,20.64,19.78,19.78,21.2,15427759
2021-01-12,287730,20.48,20.65,20.058,20.8,7272845
2021-01-13,662524,32.0,21.4,21.01,40.58,149008481
2021-01-14,621483,41.53,39.69,33.77,44.48,94556247
2021-01-15,892653,36.4,40.0,35.65,41.69,48644284
2021-01-19,1498576,39.82,42.58,37.77,47.74,75010284
2021-01-20,1007562,41.06,37.7,37.31,42.8051,33626609
2021-01-21,1438994,43.48,40.77,37.0,45.44,57090903
