Date,JPM_QUANTITY_FAILS,close,open,low,high,volume
2020-08-10,863,101.05,104.51,101.05,104.51,15711054
2020-08-11,6100,106.68,106.79,106.68,108.0,31632323
2020-08-13,1644,106.86,106.0,105.999,106.86,14132542
2020-08-18,3600,101.71,102.69,101.41,104.89,13300604
2020-08-19,16413,99.73,101.26,99.59,101.44,14113035
2020-08-27,40,102.72,103.0,99.0,107.46,22917709
2020-08-31,297,104.04,104.14,102.64,104.69,14811528
2020-09-01,6417,102.15,100.97,100.09,104.3342,11900817
2020-09-09,1386,103.81,102.2,100.43,103.81,13862195
2020-09-10,130837,101.56,102.4,99.79,104.01,16170453
2020-09-16,72,100.7,99.49,99.35,104.62,20209332
2020-09-18,15929,100.41,100.54,100.41,102.26,20687248
2020-09-22,1,97.52,97.42,95.43,98.17,19730969
2020-09-23,65248,97.15,95.38,95.38,97.15,20413671
2020-09-24,87,94.81,95.59,91.86,96.9,18761141
2020-10-01,12,99.07,100.66,98.36,101.36,15830706
2020-10-05,9352,101.48,98.53,98.53,101.48,14251660
2020-10-06,496,100.3,104.63,100.3,104.63,19447207
2020-10-13,46,105.24,105.0,102.11,106.12,22119239
2020-10-14,6500,101.87,104.75,101.87,104.75,15950832
2020-10-16,438,103.92,102.0,102.0,104.63,13618816
2020-10-20,17168,102.21,101.09,100.86,103.66,11664057
2020-10-26,728,101.29,107.0,101.29,107.0,12971037
2020-10-27,4324,99.74,104.76,99.74,104.76,10566105
2020-10-29,50,99.98,100.23,97.7839,101.35,14245405
2020-10-30,4703,101.32,101.36,100.35,102.54,15742730
2020-11-02,9000,100.31,102.91,99.09,103.12,15701030
2020-11-03,1807,104.73,104.79,104.1,105.5,18005013
2020-11-05,467,106.5,105.41,101.0,106.5,18027857
2020-11-09,1754,120.4,113.43,113.43,123.9,49032358
2020-11-12,167622,118.1,113.29,113.29,118.1,22843138
2020-11-13,4532,116.38,119.6,116.38,119.6,12379092
2020-11-16,2826,118.1,119.83,118.1,121.4107,20709097
2020-11-20,327,119.55,116.64,114.66,119.55,13332923
2020-11-23,17704,118.1,119.59,118.1,121.34,13594525
2020-11-24,2300,123.34,120.89,120.89,126.2,20954784
2020-11-27,1635,122.94,127.0,122.94,127.0,6166878
2020-11-30,6150,118.8,125.0,118.8,125.3282,14530588
2020-12-01,4200,123.16,123.22,123.16,124.4254,13079839
2020-12-02,2744,127.5,123.3,120.3,127.5,11196852
2020-12-04,84275,126.0,128.17,125.56,128.17,13755575
2020-12-08,6700,125.0,121.36,121.36,125.0,9982505
2020-12-09,1546,126.9,129.31,125.95,129.31,13376443
2020-12-22,627825,124.84,128.26,124.84,128.26,11962115
2020-12-23,47,128.59,122.99,122.65,128.89,15010232
2020-12-24,18772,128.04,126.15,124.43,128.69,4209456
2020-12-29,431,131.13,129.4,129.4,131.13,8511416
2021-01-04,139,131.52,128.5,128.5,131.52,17489903
2021-01-05,46093,130.17,130.4,129.33,130.4,14188030
2021-01-06,435864,134.32,136.32,132.83,139.27,25421662
2021-01-07,109199,137.2,139.68,137.2,139.68,22142469
2021-01-12,8100,142.26,140.18,140.18,143.5385,18394957
2021-01-14,2500,146.98,145.48,143.0,147.4,18603488
2021-01-20,325319,138.03,142.25,135.841,142.25,16654395
2021-01-25,5009,137.84,132.86,132.86,137.84,14629330
2021-01-27,4,129.49,131.62,129.49,132.91,17690865
2021-01-28,34975,130.91,135.4,130.15,135.4,13966494
2021-01-29,5181,132.28,136.05,128.25,137.72,14974966
2021-02-02,113,139.02,134.53,134.53,139.02,12478336
2021-02-04,1630,138.76,136.88,136.88,143.24,12797685
2021-02-08,10142,142.82,143.9,141.34,145.1,10283577
2021-02-09,8704,139.89,143.47,139.48,146.58,9040212
2021-02-10,2162,145.62,146.0,145.62,146.18,10661896
2021-02-11,20,140.32,140.09,138.38,144.25,9461310
2021-02-12,1233,146.06,143.42,143.42,146.06,8631009
2021-02-16,7329,145.75,145.95,145.75,149.29,12452867
2021-02-17,1700,148.0,145.52,145.08,149.89,10929607
2021-02-18,2513,149.27,147.0,147.0,149.27,10841311
2021-02-22,118,151.85,153.66,151.85,154.79,11817688
2021-02-23,11100,154.65,155.29,154.65,159.24,16291438
2021-02-24,6646,155.64,155.3,155.03,159.65,15306288
2021-02-26,409,152.73,152.6,151.6,156.6678,20356278
2021-03-02,1500,151.37,153.51,150.83,153.51,14456969
2021-03-11,748,156.33,159.75,155.77,161.21,12059037
2021-03-16,161,159.13,159.84,153.38,159.84,13294672
2021-03-22,1731,156.55,157.0,156.55,157.15,20746433
2021-03-23,2066,154.6,155.45,154.6,156.29,17235215
2021-03-24,606,151.18,152.0,151.18,159.64,13350900
2021-03-25,1920,159.61,157.0,155.45,159.61,16135130
2021-03-29,399,153.31,158.6018,152.16,158.6018,18032832
2021-03-30,6300,155.86,157.97,154.87,159.61,13394311
2021-03-31,1992,159.27,156.71,156.71,160.93,17206033
2021-04-05,360,154.08,158.2,154.08,159.8,13948475
2021-04-06,22026,159.24,157.11,157.11,159.24,13706951
2021-04-07,5100,159.88,156.7,153.04,162.43,17605705
2021-04-08,1054,156.43,161.0,154.65,161.0,12767650
2021-04-12,1926,157.71,162.8,157.56,162.8,12601866
2021-04-13,6591,161.19,156.34,154.55,161.19,16116549
2021-04-27,1148,152.32,157.9,152.32,157.9,13091821
2021-04-29,3496,159.9,156.56,153.4,162.12,13156655
2021-04-30,1243,160.28,154.8,154.8,161.94,12162031
2021-05-04,776,158.1,157.62,157.62,159.66,13589165
2021-05-05,202,163.25,161.0,157.785,163.25,7080349
2021-05-07,169,163.31,157.24,157.24,164.8,14770028
2021-05-10,11178,167.86,166.0,164.8,168.46,14682808
2021-05-11,9019,161.8,163.32,161.32,164.73,15984614
2021-05-12,12846,157.91,162.51,157.91,162.7,15023813
2021-05-13,13246,165.6,162.29,162.28,165.6,16050326
2021-05-17,9,170.28,164.48,164.48,170.78,10011402
2021-05-18,200,164.92,167.39,164.05,167.39,11335129
2021-05-19,5446,165.15,162.0,162.0,166.28,13627236
2021-05-24,182,170.89,167.36,165.0714,170.89,9829488
2021-05-25,37822,166.76,164.25,164.25,171.5,12655301
2021-05-27,1708,171.37,169.16,165.86,171.37,16194766
2021-05-28,18,171.63,169.32,169.22,171.63,10612493
2021-06-01,2554,167.13,167.1,165.95,172.25,9886764
2021-06-02,40623,169.29,170.01,168.85,172.03,10901952
2021-06-07,3876,170.97,169.0,169.0,174.7,7317711
2021-06-08,800,166.0,165.99,165.99,171.2127,10763083
2021-06-09,185061,170.06,169.83,168.74,170.06,12702021
2021-06-22,36701,155.08,152.7,150.97,157.61,14331952
2021-06-25,48965,157.03,155.44,155.44,161.722,16030353
2021-06-28,48751,156.92,154.8,154.8,162.07,14235397
2021-06-29,2361,157.52,160.0,155.32,160.0,14663999
2021-06-30,549,156.52,160.3,156.52,160.3,12751282
2021-07-02,5412,157.41,163.66,157.41,163.66,11524609
2021-07-06,63047,159.3,161.3,159.3,161.3,15700144
2021-07-08,300,155.9,152.62,152.62,155.9,18055168
2021-07-12,558,160.0,156.49,156.49,161.2932,20741188
2021-07-13,9700,161.36,158.62,158.62,164.17,23386863
2021-07-19,27,149.55,154.82,148.17,154.82,22319462
2021-07-20,4969,156.57,152.07,151.7662,156.57,15534707
2021-07-21,4869,156.26,156.97,156.26,158.42,12507025
2021-07-28,616,158.0,159.87,154.87,159.87,9535746
2021-07-30,276,153.24,157.78,153.24,157.78,10017255
2021-08-02,347,154.04,152.48,152.48,155.23,10231428
2021-08-03,3538,153.44,153.6,153.44,158.36,10812017
2021-08-04,408,155.03,157.01,154.05,158.34,10224369
2021-08-05,3749,160.53,153.53,153.53,160.53,9381850
2021-08-06,2013,160.1,156.52,156.27,160.89,13987027
2021-08-09,14287,158.65,158.55,158.55,163.5,9594947
2021-08-10,11400,163.36,162.3,160.51,163.917,9039763
2021-08-11,8261,168.53,163.0,160.09,168.53,9329015
2021-08-13,1902,160.21,167.14,160.21,167.14,9052173
2021-08-16,867,166.09,165.67,158.56,166.09,8941755
2021-08-17,3800,164.25,158.69,158.69,164.25,9629765
2021-08-19,528,161.86,156.53,153.54,161.86,9687978
2021-08-20,594,154.8,154.81,154.8,160.11,7200910
2021-08-23,724,163.8,157.87,157.87,163.8,7935648
2021-08-24,4000,163.83,157.0,157.0,164.42,8054244
2021-08-25,68,165.33,162.07,158.7,165.41,11515543
2021-08-27,49281,167.08,164.64,161.96,170.75,8981197
2021-08-31,24040,163.83,162.46,161.02,167.65,12918328
2021-09-01,97,161.7,167.5,161.7,167.5,8932533
2021-09-02,1579,161.53,162.27,161.53,168.08,9037875
2021-09-03,45,162.22,164.43,162.22,165.02,8009304
2021-09-07,23060,159.54,164.88,159.54,165.27,9554492
2021-09-09,357,161.32,165.06,161.32,165.06,8271453
2021-09-10,29733,165.2,161.0,160.01,165.2479,8321506
2021-09-13,280,161.61,164.42,161.33,164.42,10442875
2021-09-14,91543,158.86,166.89,158.86,166.89,11695506
