Date,MSFT_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,13943,217.63,224.2,217.63,224.2,29611022
2020-08-10,58913,211.22,216.17,211.22,216.49,37572396
2020-08-11,26771,212.17,210.395,210.395,212.17,37004851
2020-08-12,9051,215.29,214.35,210.66,217.81,29324507
2020-08-13,50,215.1,216.07,215.1,216.79,22886179
2020-08-14,5,214.6,217.71,214.6,217.71,18677293
2020-08-19,3098,218.6,221.83,215.07,221.83,28146995
2020-08-20,13106,220.48,216.55,209.22,225.0,27904767
2020-08-21,570,218.78,222.29,218.27,222.7,36748461
2020-08-24,1220,221.71,216.41,214.4,221.71,26160579
2020-08-25,14131,217.87,219.9,213.6,224.44,23669435
2020-08-27,904,229.72,223.73,223.73,234.11,60056040
2020-08-28,679,236.51,233.91,231.88,236.51,26885163
2020-09-01,132042,237.02,233.8,232.31,237.02,26942966
2020-09-04,6174,223.43,225.3,208.19,225.3,62576036
2020-09-08,10196,210.77,215.4,210.7,219.54,54173822
2020-09-09,104250,213.04,216.5,212.9,216.5,46752320
2020-09-15,1242,213.23,215.14,213.23,217.08,22785595
2020-09-16,98,212.68,214.13,211.5,218.96,27467541
2020-09-18,200,202.12,209.1,202.12,211.89,55703866
2020-09-21,3046,202.67,205.42,199.85,207.14,41818746
2020-09-22,36677,211.95,212.48,207.088,212.8,34750094
2020-09-28,9159,216.22,220.72,211.28,220.72,33022326
2020-09-29,8400,213.0,215.56,213.0,217.54,24841456
2020-10-01,192,215.15,223.58,213.19,223.58,27794996
2020-10-05,4107,212.18,215.46,212.18,217.45,22320213
2020-10-07,25753,211.97,209.05,209.05,212.35,26678803
2020-10-13,3293,227.13,224.68,222.57,231.87,30243981
2020-10-14,26171,222.57,228.0,222.57,229.66,24009242
2020-10-15,1012,228.43,220.3,220.3,228.43,23816962
2020-10-19,1547,215.16,222.606,215.16,225.0,28943657
2020-10-20,27151,222.22,216.7,216.7,228.12,22908995
2020-10-22,215388,224.08,221.33,219.8,226.602,22965152
2020-10-28,1094,204.4,217.2,204.4,217.2,52314723
2020-10-29,4684,212.28,210.29,205.44,212.74,32780691
2020-10-30,75370,210.49,203.9,203.9,210.49,38749534
2020-11-04,1150,226.86,214.7,214.7,226.86,42377284
2020-11-05,4226,229.43,232.62,223.79,232.62,37402963
2020-11-06,1320,228.77,231.47,227.79,231.92,26470935
2020-11-09,502,222.35,226.963,222.35,236.99,46589116
2020-11-10,30901,216.53,221.5,216.53,221.5,46048548
2020-11-17,107,220.91,226.9,216.19,226.9,24193804
2020-11-18,12234,216.58,215.13,215.13,217.38,28602506
2020-11-19,3500,212.48,212.04,210.81,222.49,25416345
2020-11-20,1022,210.84,222.3,210.84,223.941,23942817
2020-11-23,462,218.52,220.49,214.35,220.49,25985757
2020-11-24,1,215.99,214.29,212.74,220.1,35050438
2020-11-25,101416,220.41,223.02,214.28,223.02,21606223
2020-12-01,5600,223.96,214.93,214.93,223.96,31484321
2020-12-04,66146,221.8,221.76,213.94,221.8,25547883
2020-12-07,44613,217.66,219.53,217.66,221.27,24986374
2020-12-08,12988,220.68,219.74,214.12,226.24,24222644
2020-12-10,4552,215.11,216.86,213.38,217.04,27355107
2020-12-11,3324,220.46,210.37,209.15,220.46,31172753
2020-12-14,25220,219.0,220.6,213.73,220.6,30121605
2020-12-15,10472,221.39,216.888,214.65,221.39,28040087
2020-12-17,158,229.96,225.12,219.98,229.96,33815389
2020-12-18,9949,224.12,221.53,217.64,224.12,66174967
2020-12-22,101,231.36,233.25,231.36,233.25,22948552
2020-12-23,16192,223.01,223.62,223.01,228.2,19046621
2020-12-28,60508,235.76,234.26,223.9,235.76,18549701
2020-12-29,2759,227.33,228.11,225.61,238.39,17511594
2020-12-30,21250,225.77,225.82,221.89,232.86,21272214
2021-01-04,60,225.13,227.3,217.44,227.3,38527963
2021-01-05,561,224.7,219.98,219.98,224.7,24518746
2021-01-06,19744,213.53,222.09,213.53,222.6199,36399436
2021-01-07,208844,228.89,222.22,214.38,228.89,28257743
2021-01-08,1349,225.5,225.48,220.238,226.13,23082073
2021-01-11,1175,224.35,219.33,219.13,224.83,23303905
2021-01-14,258,223.18,220.37,218.78,225.89,29921191
2021-01-15,1013,213.31,217.55,213.31,224.12,32470239
