Date,NOK_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,1155806,5.0,5.16,5.0,5.3,36413579
2020-08-06,963188,5.0,4.98,4.98,5.11,30556969
2020-08-07,6985,5.22,5.06,5.06,5.22,22326955
2020-08-11,80587,5.05,5.09,4.99,5.16,41501582
2020-08-13,16187,5.24,5.08,5.0,5.3,22049171
2020-08-14,55030,5.0,5.23,5.0,5.23,19178914
2020-08-17,11795,5.21,5.08,5.08,5.34,25205949
2020-08-18,567058,5.32,5.33,5.07,5.33,19143901
2020-08-19,32458,5.2,5.3,5.145,5.3,20746807
2020-08-20,20443,5.27,5.13,5.11,5.27,15505621
2020-08-21,17912,5.01,5.1,4.94,5.1,15417119
2020-08-24,22586,5.28,5.289,5.0,5.289,13157396
2020-08-25,441340,5.29,5.25,5.0,5.29,14228028
2020-08-26,68576,5.2,5.15,5.15,5.28,20030417
2020-08-27,45,5.04,5.05,5.04,5.17,25900948
2020-08-28,129429,5.16,5.06,4.99,5.16,21091982
2020-09-02,69966,4.8,4.79,4.7,4.89,32703539
2020-09-03,5080,4.57,4.91,4.57,4.91,63851735
2020-09-08,8560,4.2,4.327,4.2,4.34,67241860
2020-09-09,99991,4.21,4.37,4.21,4.37,47259618
2020-09-10,414624,4.1,4.34,4.1,4.34,35248279
2020-09-11,35184,4.2,4.29,4.2,4.29,27866574
2020-09-14,245410,4.13,4.25,4.13,4.34,21414512
2020-09-15,15544,4.31,4.4,4.26,4.4,24335446
2020-09-17,100000,4.28,4.09,4.09,4.29,29391201
2020-09-18,10570,4.11,4.2,4.08,4.226,20802444
2020-09-21,31746,4.13,4.12,4.07,4.13,30387575
2020-09-22,31534,4.07,3.97,3.9,4.07,15724712
2020-09-23,6229,3.95,3.98,3.95,3.98,20212861
2020-09-25,6907,3.92,3.943,3.75,3.943,33627869
2020-09-28,16229,3.9,3.86,3.86,3.95,28042156
2020-09-29,10396,4.11,3.99,3.94,4.11,26064163
2020-09-30,558973,4.07,4.074,4.07,4.1,24881939
2020-10-05,23402,3.94,4.03,3.88,4.03,16169837
2020-10-06,783,4.07,4.02,3.92,4.07,24760651
2020-10-07,6979,4.0,4.1,3.92,4.1,15557353
2020-10-08,253027,3.98,4.1,3.95,4.1,20252137
2020-10-09,300408,4.1,4.08,4.08,4.27,36170286
2020-10-13,138446,4.13,4.25,4.13,4.25,20713760
2020-10-14,523312,4.26,4.09,4.07,4.26,21515210
2020-10-15,268262,4.22,4.027,4.027,4.22,15803071
2020-10-19,432741,4.37,4.21,4.17,4.37,36909085
2020-10-20,116370,4.4,4.34,4.26,4.45,40410491
2020-10-21,236762,4.28,4.35,4.28,4.44,43627908
2020-10-22,78136,4.31,4.3,4.28,4.31,33975360
2020-10-23,1812296,4.4,4.3,4.3,4.42,16204084
2020-10-26,570782,4.34,4.4,4.23,4.51,34805399
2020-10-27,359,4.37,4.32,4.23,4.39,24352500
2020-10-28,129060,4.08,4.06,4.0,4.15,47269657
2020-10-29,940540,3.5,3.49,3.34,3.5,154887984
2020-10-30,3560197,3.42,3.5,3.42,3.53,66475245
2020-11-02,1741052,3.39,3.53,3.28,3.53,42196408
2020-11-03,1537306,3.43,3.41,3.3,3.55,54986288
2020-11-04,1388018,3.6,3.46,3.46,3.6,38715204
2020-11-05,26046,3.59,3.6,3.59,3.7,43879520
2020-11-06,146140,3.59,3.53,3.53,3.61,29601367
2020-11-09,2820240,3.67,3.96,3.65,3.96,52102977
2020-11-10,2349606,3.7,3.76,3.69,3.76,37654256
2020-11-12,1103543,3.9,3.79,3.744,3.9,47885302
2020-11-13,63606,3.88,3.82,3.82,3.94,48238969
2020-11-16,1851865,3.9,4.03,3.85,4.03,38498751
2020-11-17,54296,3.95,4.05,3.95,4.05,27387884
2020-11-18,655746,4.0,3.95,3.95,4.01,29041851
2020-11-19,477280,3.99,3.87,3.87,4.03,32159214
2020-11-20,1134012,4.14,3.9,3.9,4.14,29679931
2020-11-23,361764,4.15,4.07,4.04,4.15,32687573
2020-11-24,744522,4.18,4.17,4.06,4.22,25588447
2020-11-25,273105,4.18,4.27,4.18,4.32,17828515
2020-11-30,216789,4.22,4.13,4.09,4.3,21776443
2020-12-01,105549,4.18,4.07,4.07,4.18,20655279
2020-12-02,36991,4.15,4.0,4.0,4.17,23873289
2020-12-03,82130,4.1,4.18,4.1,4.21,19404309
2020-12-04,301166,4.07,4.2,4.07,4.2,20238423
2020-12-07,387373,4.11,4.12,4.04,4.12,22560855
2020-12-08,373790,4.39,4.2,4.2,4.39,35913025
2020-12-09,75132,4.31,4.33,4.31,4.35,32004264
2020-12-10,194820,4.3,4.33,4.3,4.33,28546210
2020-12-11,419839,4.12,4.25,4.0,4.25,35583144
2020-12-14,240161,4.0,4.21,4.0,4.21,21813982
2020-12-15,609570,4.2,4.07,4.07,4.2,19576458
2020-12-16,1464022,4.06,4.06,4.02,4.09,20775383
2020-12-17,1110,4.24,4.11,4.08,4.2751,27075467
2020-12-21,63883,4.1,4.01,3.93,4.1,26415429
2020-12-22,57648,3.99,3.96,3.88,4.0,25855506
2020-12-24,163505,3.93,4.0,3.93,4.07,7452790
2020-12-28,34961,3.9,4.1,3.9,4.12,19437764
2020-12-30,338628,3.98,4.01,3.89,4.03,18247862
2020-12-31,215692,4.01,3.94,3.9,4.12,17443345
2021-01-04,90467,4.07,4.18,4.01,4.18,30788656
2021-01-05,60457,4.17,4.0,4.0,4.17,40346554
2021-01-06,2069355,4.12,4.06,4.02,4.23,38484521
2021-01-07,123465,4.02,4.15,4.02,4.15,25558235
2021-01-08,82393,4.08,4.12,4.08,4.15,24713416
2021-01-12,77887,4.13,4.03,3.93,4.22,27019373
2021-01-13,753729,3.99,4.09,3.99,4.09,33791903
2021-01-14,137856,4.28,4.26,4.09,4.37,94122057
2021-01-15,140756,4.13,4.19,4.05,4.29,36699327
2021-01-19,5876192,4.13,4.22,4.13,4.35,41018252
2021-01-20,3744102,4.4,4.35,4.2,4.4,44742189
2021-01-21,669116,4.4,4.34,4.28,4.4,22603478
2021-01-22,8812,4.3,4.31,4.29,4.42,30158835
2021-01-25,265402,4.98,4.63,4.54,4.98,299860365
