Date,QSR_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,60,60.03,59.0,59.0,60.66,1694503
2020-08-06,2864,56.4,59.07,56.4,59.07,3377777
2020-08-07,147,56.21,55.3,53.82,56.21,3111048
2020-08-10,312,55.85,54.74,54.74,56.22,2087373
2020-08-12,567,55.83,56.06,54.42,56.33,1225631
2020-08-13,1172,54.67,56.44,54.67,57.09,1733174
2020-08-17,65,54.98,55.4,54.98,56.55,2336066
2020-08-19,69570,56.06,56.55,55.05,56.55,1526135
2020-08-20,4193,56.59,56.72,56.218,56.92,2036754
2020-08-24,438,55.09,55.14,54.2,57.21,2101104
2020-08-25,6171,56.37,54.85,54.85,56.37,2230917
2020-08-26,57278,55.4,54.61,54.61,55.68,1666150
2020-08-27,779,56.04,55.76,55.76,56.96,1059396
2020-08-28,840,58.02,57.14,55.629,58.39,1557303
2020-08-31,264,56.24,56.7,54.49,57.2,1351803
2020-09-01,149,56.98,56.27,56.27,56.98,1324425
2020-09-02,1480,59.1,55.47,55.47,59.59,2635868
2020-09-04,7906,57.3,59.43,57.3,59.43,2174229
2020-09-08,18651,57.8,58.06,57.2,58.06,1949606
2020-09-09,275644,58.26,56.28,56.0,58.26,2418483
2020-09-10,11366,56.01,57.73,55.75,57.73,2351227
2020-09-11,23998,56.39,55.58,54.73,56.92,2054219
2020-09-15,376,58.58,57.6,57.6,60.06,2370965
2020-09-16,49432,58.54,59.15,57.4041,59.15,1840740
2020-09-17,1858,58.16,57.0,55.6,58.66,1328298
2020-09-18,217,58.6,57.42,56.93,58.6,2069201
2020-09-22,307,57.17,56.79,54.21,57.35,1302398
2020-09-28,25370,58.69,58.13,58.13,58.69,1846671
2020-09-30,230426,57.78,58.79,57.78,61.0,2441110
2020-10-01,5979,59.67,58.33,58.33,59.67,3149465
2020-10-02,121068,57.45,56.95,56.95,58.12,1815824
2020-10-05,5982,60.51,58.23,58.21,60.51,1153734
2020-10-09,30,60.3,61.9,59.62,62.45,750921
2020-10-13,426,61.73,60.3,60.3,61.73,911034
2020-10-15,831,60.1,59.58,59.58,60.34,1559166
2020-10-20,21422,58.64,57.45,56.82,59.32,1526060
2020-10-21,222,59.26,58.0,58.0,59.26,1144770
2020-10-22,9850,59.82,56.65,56.65,59.82,1294096
2020-10-23,1524,56.96,59.94,56.672,59.94,1195091
2020-10-26,25,56.67,58.0,55.15,58.0,2504550
2020-10-27,297,55.51,57.0,55.51,57.36,3590869
2020-10-28,480,53.3,52.47,52.47,53.75,3065066
2020-10-30,4312,54.0,54.62,52.7,54.62,2192077
2020-11-02,1157,53.19,54.78,52.6004,54.78,2132257
2020-11-03,3560,56.0,52.93,52.93,56.0,1754904
2020-11-04,42008,54.95,54.85,54.0933,54.95,2098202
2020-11-05,16636,54.58,56.79,54.58,56.79,1963861
2020-11-06,1692,55.62,56.21,54.02,56.48,1712266
2020-11-09,1521,60.18,58.36,58.36,60.69,4207927
2020-11-10,16615,58.71,59.85,58.49,59.85,1809639
2020-11-12,1642,57.4,57.53,56.48,58.24,1660074
2020-11-16,1759,59.92,61.63,58.83,61.63,2181615
2020-11-17,1429,61.25,60.44,60.21,62.77,2758068
2020-11-18,1135,59.0,61.2,59.0,61.2,1178583
2020-11-19,5694,61.64,59.64,59.64,61.64,1440169
2020-11-23,189614,60.61,59.79,59.79,61.62,1811613
2020-11-24,142904,62.76,62.29,61.76,63.6493,1843213
2020-11-25,143857,59.94,62.5,59.94,62.5,924355
2020-11-27,118300,61.15,59.9,59.71,61.15,964812
2020-11-30,3565,59.21,60.0,59.041,60.0,2357399
2020-12-01,4039,58.01,57.9,57.9,58.6,2026697
2020-12-02,40445,59.54,58.6,58.6,59.54,1308160
2020-12-03,5307,59.15,60.4,58.48,61.69,1428907
2020-12-04,1801,63.0,61.42,59.4,63.0,1606898
2020-12-07,260,62.38,61.42,61.42,62.38,1153432
2020-12-08,354,61.0,62.14,60.2,62.14,847532
2020-12-09,2698,62.64,62.92,61.72,63.2,1479371
