Date,SHOP_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,786,1132.85,1087.24,1087.24,1132.85,1611418
2020-08-06,209,1133.34,1133.1,1090.2463,1143.41,1297640
2020-08-10,661,1029.24,1097.0,999.9,1100.0,2452033
2020-08-11,129,982.53,1011.82,965.3,1048.0,2349153
2020-08-12,10160,1012.0,1030.49,1012.0,1030.49,1766684
2020-08-13,121,1002.5,1051.0,1002.5,1058.092,1458016
2020-08-14,328,1026.8,1023.4,1023.4,1031.0,1672027
2020-08-17,2704,1016.29,1030.0,1015.3295,1038.21,1279099
2020-08-18,175,1051.13,1041.0,1008.45,1051.13,1342076
2020-08-19,97,1033.39,1033.49,1024.0,1079.53,1268470
2020-08-20,14007,1066.71,1027.1,1027.1,1066.71,1375266
2020-08-25,6116,1063.07,996.0,996.0,1086.4,1724535
2020-08-26,1043,1130.64,1070.0,1063.19,1130.64,2833289
2020-08-27,776,1071.5,1112.29,1071.5,1112.29,1580545
2020-08-28,100,1046.53,1081.67,1042.6,1113.64,1372078
2020-08-31,1513,1109.19,1056.69,1056.69,1109.19,1153313
2020-09-01,657,1185.39,1116.0,1088.21,1185.39,2188977
2020-09-03,667,1047.9,1054.56,1041.39,1077.6,3033682
2020-09-04,1600,980.84,1014.06,901.39,1021.57,3538868
2020-09-08,352,925.7,959.44,925.7,960.0981,2109137
2020-09-10,458,956.1,1004.0,949.22,1010.0,1766385
2020-09-14,871,964.86,959.86,947.19,964.86,1691538
2020-09-16,491,926.59,944.0,922.4,972.0,3777202
2020-09-17,495,882.47,891.66,876.8,903.69,3911638
2020-09-18,3288,940.16,920.44,880.7837,944.88,2453304
2020-09-22,530,972.53,952.45,905.28,995.93,2506278
2020-09-24,4341,932.79,954.06,908.7078,954.06,1714721
2020-09-28,30,968.9,995.58,953.0,1006.2642,1877307
2020-09-29,1200,1054.6,1009.76,992.5303,1080.0,3252646
2020-09-30,842,1055.47,1078.36,1050.31,1078.36,2009498
2020-10-01,3,1077.71,1039.3,1039.3,1077.71,1815710
2020-10-02,18236,1054.82,1053.9,1053.4,1066.0,1368738
2020-10-05,867,1085.78,1074.7,1060.71,1106.1,1620649
2020-10-06,2987,1043.44,1068.0,1043.44,1113.108,1459392
2020-10-07,1540,1078.57,1077.82,1077.82,1090.54,1310891
2020-10-08,9921,1115.06,1085.5,1056.69,1115.06,1089572
2020-10-09,49248,1119.0,1114.32,1104.0,1134.0382,1175300
2020-10-15,2953,1126.3,1092.0,1045.77,1126.3,1102870
2020-10-19,16485,1087.0,1083.32,1083.32,1094.4,991755
2020-10-20,1918,1101.31,1120.0,1097.04,1120.0,904494
2020-10-21,116,1024.98,1081.87,1024.98,1107.03,1033660
2020-10-23,873,1027.15,1021.2,1018.5492,1063.33,1072450
2020-10-26,1010,1074.34,1060.0,1027.96,1092.9115,1450068
2020-10-28,925,1072.86,1070.06,1044.42,1104.51,1690131
2020-10-29,124,985.0,1100.11,985.0,1101.52,3505382
2020-11-02,483,939.38,974.37,923.856,1000.4369,1592814
2020-11-03,89,962.58,965.0,950.32,965.0,1160232
2020-11-04,625,1015.0,1006.0,983.0,1026.14,1626839
2020-11-09,430,932.4,1022.0,921.0,1028.305,4061191
2020-11-10,2128,926.38,937.0,901.0,937.0,3076148
2020-11-13,393,938.3,947.66,935.7589,957.84,878928
2020-11-16,151,957.33,929.53,918.0,957.33,1543560
2020-11-17,636,920.9,948.0,920.9,964.2,780479
2020-11-18,3160,949.97,928.0,928.0,949.97,1020357
2020-11-20,2479,1018.44,1010.0,985.0,1023.0,1739856
2020-11-23,496,1015.69,1027.2,1008.33,1027.2,1233773
2020-11-24,9,1009.87,1010.0,977.0,1010.0,879918
2020-11-27,1162,1058.82,1076.37,1038.9,1077.0,1191249
2020-11-30,534,1118.09,1084.0,1065.0,1118.09,2708495
2020-12-01,1537,1083.43,1116.75,1083.43,1116.75,1818729
2020-12-02,1243,1096.71,1090.0,1062.55,1096.71,1271558
2020-12-03,733,1114.11,1096.0,1096.0,1145.6595,1539901
2020-12-04,1170,1062.39,1096.0,1062.21,1117.22,863227
2020-12-07,723,1098.7,1089.33,1060.087,1101.0,974694
2020-12-08,1207,1132.12,1107.86,1084.0,1153.0,1119465
2020-12-09,410,1089.48,1109.0,1037.29,1126.52,1477096
2020-12-14,5576,1100.65,1069.0,1052.79,1100.65,1147766
2020-12-15,188,1103.8,1103.79,1062.11,1103.8,833481
2020-12-16,1954,1210.27,1099.15,1099.15,1210.27,3120068
2020-12-17,2333,1216.0,1169.0,1151.2027,1241.934,2300421
2020-12-18,6097,1196.29,1195.29,1168.58,1224.63,1131483
2020-12-22,988,1330.08,1213.06,1213.06,1345.581,2625922
2020-12-23,4194,1234.78,1328.0,1219.0,1328.0,2134046
2020-12-24,3293,1236.69,1237.0,1209.5566,1284.6,933506
2020-12-30,15059,1184.0,1205.47,1147.08,1222.28,800038
2020-12-31,612,1179.67,1202.77,1135.86,1202.77,851013
2021-01-04,3200,1117.8,1180.25,1095.2,1180.25,1714153
2021-01-06,22567,1134.32,1111.0,1107.49,1153.0,1284686
2021-01-12,4836,1238.09,1209.0,1209.0,1238.09,910139
2021-01-13,122,1226.29,1233.0,1191.1,1233.0,719417
2021-01-14,324,1197.16,1273.12,1174.0,1273.12,1225649
2021-01-15,4207,1180.42,1226.61,1178.0646,1226.61,909710
2021-01-19,27,1226.11,1242.9,1171.8,1242.9,813835
2021-01-20,88173,1215.79,1207.6,1196.4616,1236.4,842849
2021-01-22,906,1249.0,1218.99,1208.0745,1249.0,631892
2021-01-25,1374,1263.71,1221.12,1197.7,1301.28,1489143
2021-01-29,34,1104.84,1149.0,1083.0,1149.0,1049415
2021-02-02,102,1262.04,1212.02,1205.66,1282.99,1750183
2021-02-03,5,1264.0,1267.33,1238.06,1287.1297,1178078
2021-02-04,10,1295.96,1263.55,1263.55,1296.46,1489988
2021-02-09,5000,1456.44,1414.65,1414.65,1516.42,2186911
2021-02-10,690,1531.01,1448.04,1430.02,1551.63,2132336
2021-02-12,217,1511.74,1514.0,1497.62,1522.0,1057514
2021-02-16,64,1517.0,1488.85,1467.0,1551.69,1606819
2021-02-17,3500,1435.0,1395.25,1345.0,1500.549,3738934
2021-02-18,2688,1398.74,1400.46,1388.65,1453.0,1274298
2021-02-19,8649,1492.55,1460.0,1429.25,1505.87,1366095
2021-02-22,18997,1436.1,1460.51,1364.4766,1480.9,1399884
2021-02-23,1300,1360.83,1318.28,1248.94,1360.83,3533464
2021-02-24,1443,1355.02,1345.12,1271.6089,1355.02,1162057
2021-02-25,1236,1260.4,1334.16,1247.09,1359.27,1912745
2021-03-01,956,1352.32,1376.0,1293.0,1376.0,1290666
2021-03-02,24,1322.0,1343.94,1264.0,1346.46,1322927
2021-03-03,2060,1264.4,1351.75,1237.14,1364.05,1162033
2021-03-04,13039,1178.82,1245.3,1121.65,1245.3,2855077
2021-03-05,11856,1159.95,1173.45,1071.23,1173.45,4138168
