Date,SPCE_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,393661,20.19,20.8,19.55,20.97,17671914
2020-08-06,557984,19.64,20.2,19.37,21.0,22158743
2020-08-07,327554,18.87,19.58,18.51,19.9,19810714
2020-08-10,1096051,19.53,18.93,18.69,20.28,12581344
2020-08-11,14048,18.49,19.59,18.49,19.73,10666810
2020-08-17,29624,18.39,19.57,17.59,19.57,15636984
2020-08-18,48141,18.33,18.34,18.12,18.59,10023595
2020-08-19,21393,18.18,18.26,17.5,18.66,7978336
2020-08-21,1978,16.89,17.96,16.89,17.96,9143488
2020-08-25,42400,17.53,17.9,17.53,17.99,6600983
2020-08-26,128140,17.58,18.19,17.58,19.3,13754467
2020-08-27,6547,17.62,17.77,17.35,17.77,9216653
2020-08-28,562,17.67,17.38,17.38,17.67,5071351
2020-09-01,1000,17.92,18.5,17.73,18.5,9209378
2020-09-02,100391,17.4,17.9,16.68,18.4,13774859
2020-09-03,72071,17.04,16.78,16.55,17.89,12564718
2020-09-04,381696,16.2,16.95,15.0098,17.57,15182236
2020-09-09,162898,18.51,18.32,17.64,18.909,20329893
2020-09-10,97605,17.95,18.41,17.95,18.5421,13318409
2020-09-11,36692,16.69,18.11,16.4,18.4,13138293
2020-09-14,6764,17.65,17.4,17.3448,17.781,7643923
2020-09-15,697278,17.9,17.55,17.21,18.67,8971840
2020-09-16,92269,17.94,17.87,17.32,18.16,6824990
2020-09-17,184167,17.41,18.0,17.22,18.13,7456205
2020-09-18,36189,17.33,17.68,17.33,18.17,8677919
2020-09-21,55563,17.14,17.31,16.156,17.31,10852899
2020-09-22,608958,16.8,16.64,16.4,16.8,7233462
2020-09-23,367580,16.44,16.63,15.63,17.1,10239409
2020-09-24,70670,16.08,15.7,15.5,17.08,11896630
2020-09-25,714038,16.46,15.98,15.9,16.97,5432723
2020-09-28,116744,20.78,18.65,18.65,20.97,56831589
2020-09-29,159382,20.78,20.75,19.66,21.43,33391096
2020-09-30,22554,19.32,20.28,19.27,21.45,20475310
2020-10-01,108030,20.6,20.07,19.41,20.6,14250184
