Date,TSLA_QUANTITY_FAILS,close,open,low,high,volume
2020-08-05,1968,310.348,304.873,304.873,310.348,25861548
2020-08-06,3150,299.693,309.076,299.693,315.284,30043115
2020-08-07,1724,299.324,304.0932,294.413,308.59,45184386
2020-08-10,1211,286.711,302.0,278.047,303.3,37628012
2020-08-11,6061,278.661,292.7,278.661,296.0,45096439
2020-08-12,129,312.874,304.0,291.0,324.0,114707955
2020-08-13,3615,328.2,336.1,317.562,341.574,105034544
2020-08-17,713,376.786,336.6,336.6,379.562,103085934
2020-08-18,1344,393.123,383.492,373.669,393.123,83066052
2020-08-19,73253,378.492,377.0,374.629,388.9,64000336
2020-08-20,4289,401.069,387.171,378.54,417.069,104210728
2020-08-21,3630,410.144,422.086,410.144,430.647,112450819
2020-08-24,1356,407.15,430.094,399.011,442.0,102533792
2020-08-25,2931,424.446,409.748,396.1,424.446,53831967
2020-08-26,5152,451.226,418.0,418.0,454.2,72535476
2020-08-27,691,454.26,456.575,434.0,473.57,119395036
2020-08-28,7980,461.11,475.99,459.085,475.99,101405246
2020-08-31,30319,518.35,449.15,441.87,518.35,119980240
2020-09-01,18837,479.73,523.75,479.73,523.75,92777545
2020-09-02,1240984,456.73,483.52,415.9924,493.18,100215565
2020-09-03,639,425.0,409.51,409.51,453.1,91494729
2020-09-04,169,427.54,410.51,388.3095,440.0,110396619
2020-09-08,2691,331.19,367.0,331.19,370.65,118342114
2020-09-09,12515,379.24,363.4,354.75,385.0,80916965
2020-09-10,19968,375.52,390.65,375.5,403.68,85460440
2020-09-11,47368,383.64,391.6,378.4,396.9,61792277
2020-09-14,263338,421.03,385.98,385.98,429.0,84330777
2020-09-15,73578,451.33,440.5,440.5,469.15,101159296
2020-09-16,21503,446.66,460.88,446.66,464.62,73000959
2020-09-18,491,447.9,458.82,447.9,458.82,87193793
2020-09-21,113311,459.02,459.54,414.49,464.02,111894376
2020-09-22,5595,437.59,448.4,434.1676,448.4,80157051
2020-09-24,10197,404.96,379.2,366.9,404.96,96619989
2020-09-25,3112,410.52,405.34,404.3,428.6351,67467620
2020-09-28,13477,424.8,428.05,424.8,434.39,49918985
2020-09-29,119336,427.45,420.0,419.3,447.8,52160881
2020-09-30,373,441.55,437.63,434.89,441.55,49702515
2020-10-01,2207,460.98,460.23,446.25,460.98,52141547
