,Symbols,DaysAbove1pct,FloatShares,TotalFTDsPastYear,pct_float_Total_FTD_ytd
0,GME,35,61831728,55465688,89.7042502192402
1,AMC,5,511466851,277004450,54.158827587440264
2,BB,0,512112701,32895332,6.423455605722225
3,NOK,0,4643057032,112441625,2.421715353161744
4,TSLA,0,801734075,10201621,1.2724444822929597
5,SHOP,0,113048153,603560,0.5338963830749185
6,QSR,0,279856954,5256245,1.8781898841077216
7,SPCE,3,181386891,36960919,20.37684134516645
8,AAPL,0,16513305231,21670257,0.13122907072122053
9,MSFT,0,7506925463,3465817,0.04616826178816157
10,JPM,0,2961979114,3003724,0.10140935787840939
11,GS,0,320245585,954157,0.29794540336910497
