,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,26142R104,DKNG,15551609,411382205,3.7803309941420533
1,26745T101,DYAI,1920687,28869947,6.652894097796577
2,26817Q886,DX,1360979,35330085,3.852181504799663
3,26873J107,EMX,1808380,88001635,2.05493909289299
4,26922A198,PFLD,2340063,3355350,69.74124905002459
5,26922A222,ACIO,2113689,10218410,20.68510658703262
6,26922A230,HOMZ,669462,1863117,35.932364956146074
7,26922A248,NETL,634728,4258736,14.90414057128688
8,26922A263,ZIG,230056,1457733,15.781765247819731
9,26922A297,VEGN,1619758,1597390,101.40028421362348
10,26922A321,DSTL,3963166,9196869,43.09255682558923
11,26922A388,DRSK,4591102,28352721,16.192809148723327
12,26922A446,OSCV,2681950,4623842,58.002630712727644
13,26922A560,CHGX,1112313,2842422,39.132577780498465
14,26922A719,GOAU,450679,5276537,8.541189041221543
15,26922A842,JETS,13537530,162312506,8.340410935433404
16,26923H200,BDRY,1967512,3208789,61.31634083761818
17,26924G102,SILJ,16273569,62692533,25.957746834060764
18,26924G409,IPAY,1866108,18029145,10.350507469988178
19,26924G508,MJ,13713476,76046380,18.033042466978706
20,277461406,KODK,31629806,81766117,38.68326778927266
21,27828S101,ETG,1060077,79192885,1.3386013150044982
