,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING,sharesOutstanding,quoteType,exchange
0,25460G807,JDST,28221811,573.3619752129298,4922163.0,ETF,PCX
1,25460G880,DUST,20472741,443.7452328700317,4613625.0,ETF,PCX
2,74347Y870,BOIL,5046825,281.9729403863839,1789826.0,ETF,PCX
3,78464A714,XRT,34304640,277.36348225037005,12368117.0,ETF,PCX
4,46138K103,FXE,5822184,207.9586867513215,2799683.0,EQUITY,NYQ
5,025072810,FDG,5147245,201.8161016254696,2550463.0,ETF,BTS
6,81734P206,SQBG,3437456,201.4667553620148,1706215.0,EQUITY,NCM
7,37954Y723,EDUT,1369736,198.15263007900143,691253.0,ETF,NGM
8,69374H865,ECOW,667542,181.74101017141115,367304.0,ETF,NGM
9,75903M309,RHE,3154991,174.90870626507586,1803793.0,EQUITY,ASE
10,M6S89X179,MTTCF,202440401,159.50978699024554,126914094.0,EQUITY,PNK
11,46138E453,PBSM,1748412,159.21793966989185,1098125.0,ETF,BTS
12,77311W101,RKT,217698544,152.2648140211694,142973638.0,EQUITY,NYQ
13,032108854,CNBS,9343473,151.7256436483956,6158137.0,ETF,PCX
14,402031876,MOTO,445877,148.4588978380952,300337.0,ETF,PCX
15,67092P102,NUAG,21099767,144.65450124873863,14586319.0,ETF,PCX
16,887080109,TMBR,55181087,144.32107998792517,38234946.0,EQUITY,ASE
17,25460G849,TMV,7874231,139.52259299579566,5643696.0,ETF,PCX
18,45783G102,BUFF,2641620,138.07915865183574,1913120.0,ETF,BTS
19,25459W540,TMF,17804389,132.84238286749732,13402642.0,ETF,PCX
20,132061821,TOKE,2847863,132.39845670273863,2150979.0,ETF,BTS
21,46090A200,PSMB,1686588,129.24551074409806,1304949.0,ETF,BTS
22,46090A408,PSMG,1346311,127.6570667844962,1054631.0,ETF,BTS
23,25490K281,EDC,2668423,125.63250032603716,2123991.0,ETF,PCX
24,233051192,ACSG,379161,120.68772340825105,314167.0,ETF,PCX
25,74347R180,UST,375638,120.00523931531092,313018.0,ETF,PCX
26,233051879,ASHR,74723303,116.94015844096364,63898753.0,ETF,PCX
27,74347X849,TBF,56776713,113.949452765107,49826227.0,ETF,PCX
28,78396V109,WORX,12434296,112.7079595450238,11032314.0,EQUITY,NCM
29,46138J668,BSCE,1403485,112.05469061876248,1252500.0,ETF,NGM
30,46138E487,PBDM,331606,106.94897761723536,310060.0,ETF,BTS
31,46138E339,SPMO,1397616,103.9592736620678,1344388.0,ETF,PCX
32,025072794,FLV,4504171,103.09016132860413,4369157.0,ETF,BTS
33,74347G887,TTT,3801420,102.75991114047385,3699322.0,ETF,PCX
34,886364405,SFYF,688104,102.05896574125435,674222.0,ETF,PCX
35,025072760,MID,391812,101.60546235811849,385621.0,ETF,PCX
36,26922A297,VEGN,1619758,101.40028421362348,1597390.0,ETF,PCX
37,464287515,IGV,13564841,100.24058021243272,13532285.0,EQUITY,NYQ
38,92189F692,PPH,4539493,99.89626352848802,4544207.0,ETF,NGM
39,10807Q700,BLIN,8393913,99.45231938150776,8440138.0,EQUITY,NCM
40,46141D203,UUP,18950290,98.09119017939491,19319054.0,ETF,PCX
41,00770K202,AMTX,31362194,97.11273625254977,32294625.0,EQUITY,NGM
42,37954Y368,CEFA,106974,94.61283332596294,113065.0,ETF,NGM
43,46436E841,IBTH,823628,89.26146129786694,922714.0,ETF,NGM
44,26922A461,AIIQ,313843,87.59566379931117,358286.0,ETF,PCX
45,316092527,FSMD,1463354,87.28146144082758,1676592.0,ETF,PCX
46,15116C201,APOP,3556997,86.75225807269831,4100178.0,EQUITY,NCM
47,46137V803,PEZ,1030514,86.30871718763872,1193986.0,ETF,NGM
48,35473P793,FLFR,312571,85.6502045547338,364939.0,ETF,PCX
