,CUSIP,SYMBOL,YTD_FTD_SUM,sharesOutstanding,YTD_PCT_OUTSTANDING
0,25460G807,JDST,28221811,4922163.0,573.3619752129298
1,25460G880,DUST,20472741,4613625.0,443.7452328700317
2,74347Y870,BOIL,5046825,1789826.0,281.9729403863839
3,78464A714,XRT,34304640,12368117.0,277.36348225037005
4,46138K103,FXE,5822184,2799683.0,207.9586867513215
5,025072810,FDG,5147245,2550463.0,201.8161016254696
6,81734P206,SQBG,3437456,1706215.0,201.4667553620148
7,37954Y723,EDUT,1369736,691253.0,198.15263007900143
8,81734P206,SQBGQ,3437456,1736592.0,197.94263707307184
9,69374H865,ECOW,667542,367304.0,181.74101017141115
10,75903M309,RHE,3154991,1803793.0,174.90870626507586
11,M6S89X179,MTTCF,202440401,126914094.0,159.50978699024554
12,46138E453,PBSM,1748412,1098125.0,159.21793966989185
13,77311W101,RKT,217698544,142973638.0,152.2648140211694
14,032108854,CNBS,9343473,6158137.0,151.7256436483956
15,402031876,MOTO,445877,300337.0,148.4588978380952
16,67092P102,NUAG,21099767,14586319.0,144.65450124873863
17,887080109,TMBR,55181087,38234946.0,144.32107998792517
18,25460G849,TMV,7874231,5643696.0,139.52259299579566
19,45783G102,BUFF,2641620,1913120.0,138.07915865183574
20,25459W540,TMF,17804389,13402642.0,132.84238286749732
21,132061821,TOKE,2847863,2150979.0,132.39845670273863
22,46090A200,PSMB,1686588,1304949.0,129.24551074409806
23,46090A408,PSMG,1346311,1054631.0,127.6570667844962
24,25490K281,EDC,2668423,2123991.0,125.63250032603716
25,233051192,ACSG,379161,314167.0,120.68772340825105
26,74347R180,UST,375638,313018.0,120.00523931531092
27,233051879,ASHR,74723303,63898753.0,116.94015844096364
28,74347X849,TBF,56776713,49826227.0,113.949452765107
29,78396V109,WORX,12434296,11032314.0,112.7079595450238
30,46138J668,BSCE,1403485,1252500.0,112.05469061876248
31,46138E487,PBDM,331606,310060.0,106.94897761723536
32,46138E339,SPMO,1397616,1344388.0,103.9592736620678
33,025072794,FLV,4504171,4369157.0,103.09016132860413
34,74347G887,TTT,3801420,3699322.0,102.75991114047385
35,886364405,SFYF,688104,674222.0,102.05896574125435
36,025072760,MID,391812,385621.0,101.60546235811849
37,26922A297,VEGN,1619758,1597390.0,101.40028421362348
38,464287515,IGV,13564841,13532285.0,100.24058021243272
39,92189F692,PPH,4539493,4544207.0,99.89626352848802
40,10807Q700,BLIN,8393913,8440138.0,99.45231938150776
41,46141D203,UUP,18950290,19319054.0,98.09119017939491
42,00770K202,AMTX,31362194,32294625.0,97.11273625254977
43,37954Y368,CEFA,106974,113065.0,94.61283332596294
44,46436E841,IBTH,823628,922714.0,89.26146129786694
45,26922A461,AIIQ,313843,358286.0,87.59566379931117
46,316092527,FSMD,1463354,1676592.0,87.28146144082758
47,15116C201,APOP,3556997,4100178.0,86.75225807269831
48,46137V803,PEZ,1030514,1193986.0,86.30871718763872
49,35473P793,FLFR,312571,364939.0,85.6502045547338
50,78464A698,KRE,63084846,73661068.0,85.64204635208384
51,33734X770,FDNI,2227341,2601052.0,85.63231338704493
52,58471G300,MDGS,17672767,20807899.0,84.93297184881568
53,09354A100,BLNK,37221070,44227683.0,84.15785651715014
54,46137V381,RCD,4146645,4957190.0,83.64910362523929
55,25460G864,DPST,1830580,2189973.0,83.58915840514929
56,46090A507,PSMM,967728,1165071.0,83.06171898536657
57,643611106,GBR,4371131,5334587.0,81.93944535912527
58,25459W847,TNA,15321255,18821331.0,81.40367437350737
59,35473P884,FLQM,955795,1210492.0,78.95921658300922
60,33939L829,IQDY,1937800,2468808.0,78.49132050771061
61,464286715,TUR,9465907,12124899.0,78.06998639741246
62,913821302,UUU,1837003,2359672.0,77.84992999026984
63,36467W109,GME,61302951,79129917.0,77.47126917876079
64,74347X799,URTY,2908552,3834719.0,75.84785221550784
65,78464A888,XHB,18127883,23903304.0,75.8383987418643
